Pitcher,Image
Shane Bieber,https://d3k2oh6evki4b7.cloudfront.net/req/202001270/images/headshots/a/aad73d64_mlbam.jpg
Trevor Bauer,https://d3k2oh6evki4b7.cloudfront.net/req/202001270/images/headshots/d/d8df160b_mlbam.jpg
Mike Clevinger,https://d3k2oh6evki4b7.cloudfront.net/req/202001270/images/headshots/2/254e6cdf_mlbam.jpg
Zach Plesac,https://d3k2oh6evki4b7.cloudfront.net/req/202001270/images/headshots/5/575fef01_mlbam.jpg
Adam Plutko,https://d3k2oh6evki4b7.cloudfront.net/req/202001270/images/headshots/2/2f5c6a9a_mlbam.jpg
Carlos Carrasco,https://d3k2oh6evki4b7.cloudfront.net/req/202001270/images/headshots/1/1c16923e_mlbam.jpg
Aaron Civale,https://d3k2oh6evki4b7.cloudfront.net/req/202001270/images/headshots/6/603a3487_mlbam.jpg
Jefry Rodríguez,https://d3k2oh6evki4b7.cloudfront.net/req/202001270/images/headshots/4/485bfafd_mlbam.jpg
Corey Kluber,https://d3k2oh6evki4b7.cloudfront.net/req/202001270/images/headshots/b/bc1a4ce9_mlbam.jpg
Tyler Clippard,https://d3k2oh6evki4b7.cloudfront.net/req/202001270/images/headshots/b/bfd02296_mlbam.jpg
Cody Anderson,https://d3k2oh6evki4b7.cloudfront.net/req/202001270/images/headshots/1/193a1391_mlbam.jpg
Danny Salazar,https://d3k2oh6evki4b7.cloudfront.net/req/202001270/images/headshots/b/bfaa6190_mlbam.jpg
